taxon	accession	organism	strain	collection_year	host	collection_location	collection_continent	serogroup
ADH04745|La_Crosse_virus	ADH04745	La Crosse virus	LACV/95/WV-H	1995	Homo sapiens	USA: West Virginia	North America	California
ABQ12631|La_Crosse_virus	ABQ12631	La Crosse virus	LACV/human/1960	1960	NA	USA: Minnesota	North America	California
AAA62607|La_Crosse_virus	AAA62607	La Crosse virus	La Crosse/original	NA	NA	USA	North America	California
ADH04737|La_Crosse_virus	ADH04737	La Crosse virus	LACV/67/NY-M (67-8109)	1967	mosquito	USA: New York	North America	California
AAO33758|La_Crosse_virus	AAO33758	La Crosse virus	La Crosse/original	NA	NA	USA	North America	California
ADE28878|La_Crosse_virus	ADE28878	La Crosse virus	SVP_Vernon_WI_2006	2006	Aedes triseriatus (mosquito)	"USA: Vernon, WI"	North America	California
Q8JPR2|La_Crosse_virus_L78	Q8JPR2	La Crosse virus						California
ABQ12635|La_Crosse_virus	ABQ12635	La Crosse virus	LACV/human/1978	1978	NA	USA: Wisconsin	North America	California
AAM94387|La_Crosse_virus	AAM94387	La Crosse virus	Human/78	1978	NA	USA	North America	California
ADE28876|La_Crosse_virus	ADE28876	La Crosse virus	BEN_Lafayette_WI_2007	2007	Aedes triseriatus (mosquito)	"USA: Lafayette, WI"	North America	California
ADE28880|La_Crosse_virus	ADE28880	La Crosse virus	CGA_Houston_MN_2007	2007	Aedes triseriatus (mosquito)	"USA: Houston, MN"	North America	California
ADH04743|La_Crosse_virus	ADH04743	La Crosse virus	LACV/93/MO-H	1993	Homo sapiens	USA: Missouri	North America	California
AKP04423|La_Crosse_virus	AKP04423	La Crosse virus	NA	2012	Aedes triseriatus	USA	North America	California
AKP04421|La_Crosse_virus	AKP04421	La Crosse virus	NA	2012	Aedes triseriatus	USA	North America	California
WBW48511|La_Crosse_virus	WBW48511	La Crosse virus						California
ADH04744|La_Crosse_virus	ADH04744	La Crosse virus	LACV/95/OH-H (CCH-MB96)	1995	Homo sapiens	USA: Ohio	North America	California
ADH04748|La_Crosse_virus	ADH04748	La Crosse virus	LACV/65/OH-M (W17258)	1965	mosquito	USA: Ohio	North America	California
ADH04747|La_Crosse_virus	ADH04747	La Crosse virus	LACV/97/NC-M (NC97-7306)	1997	mosquito	USA: North Carolina	North America	California
ADE28879|La_Crosse_virus	ADE28879	La Crosse virus	NAT_Crawford_WI_2006	2006	Aedes triseriatus (mosquito)	"USA: Crawford, WI"	North America	California
ADE28877|La_Crosse_virus	ADE28877	La Crosse virus	NAT_Crawford_WI_2007	2007	Aedes triseriatus (mosquito)	"USA: Crawford, WI"	North America	California
ABB05227|La_Crosse_virus	ABB05227	La Crosse virus	77	1977	NA	USA	North America	California
A5HC98|La_Crosse_virus	A5HC98	La Crosse virus						California
ABQ12639|La_Crosse_virus	ABQ12639	La Crosse virus	LACV/mosquito/1978	1978	NA	USA: North Carolina	North America	California
ADH04736|La_Crosse_virus	ADH04736	La Crosse virus	LACV/00/NC-M (NC00-283)	2000	mosquito	USA: North Carolina	North America	California
ADH04739|La_Crosse_virus	ADH04739	La Crosse virus	LACV/06/NY(3)-M (06MS270036)	2006	mosquito	USA: New York	North America	California
ADH04738|La_Crosse_virus	ADH04738	La Crosse virus	LACV/06/NY(1)-M (06MS2900303)	2006	mosquito	USA: New York	North America	California
ADH04735|La_Crosse_virus	ADH04735	La Crosse virus	LACV/06/NY(2)-M (06MS350140)	2006	mosquito	USA: New York	North America	California
ADH04746|La_Crosse_virus	ADH04746	La Crosse virus	LACV/03/NY-M (41030016)	2003	mosquito	USA: New York	North America	California
ADH04741|La_Crosse_virus	ADH04741	La Crosse virus	LACV/96/WV-M (WV96-3955)	1996	mosquito	USA: West Virginia	North America	California
ADH04740|La_Crosse_virus	ADH04740	La Crosse virus	LACV/00/WV-M (WV00-3178)	2000	mosquito	USA: West Virginia	North America	California
ADH04742|La_Crosse_virus	ADH04742	La Crosse virus	LACV/74/NY-M (74-32813)	1974	mosquito	USA: New York	North America	California
ADG01816|La_Crosse_virus	ADG01816	La Crosse virus	Fort Bend County/TX/2009	2009	Aedes sp.	"USA: Fort Bend County, TX"	North America	California
ADG01815|La_Crosse_virus	ADG01815	La Crosse virus	Dallas/TX/2009	2009	Aedes albopictus	"USA: Dallas, TX"	North America	California
AHI87734|Chatanga_virus	AHI87734	Chatanga virus	Mohko S07-2	2007	NA	Finland	Europe	California
AHI87725|Chatanga_virus	AHI87725	Chatanga virus	Mohko M07-1	2007	NA	Finland	Europe	California
AHI87731|Chatanga_virus	AHI87731	Chatanga virus	Mohko M07-2-84	2007	NA	Finland	Europe	California
AHI87728|Chatanga_virus	AHI87728	Chatanga virus	Mohko M07-2-83	2007	NA	Finland	Europe	California
ANW09507|Chatanga_virus	ANW09507	Chatanga virus	LEIV-11430Kar	1985	Aedes communis (mosquito)	Russia: Karelia	Europe	California
ANW09504|Chatanga_virus	ANW09504	Chatanga virus	LEIV-10944Vol	1985	Aedes sp. (mosquito)	Russia: Vologda district	Europe	California
AHI87722|Chatanga_virus	AHI87722	Chatanga virus	Mohko ILO8-3	2008	NA	Finland	Europe	California
AEK05551|Chatanga_virus	AEK05551	Chatanga virus	LEIV-15854	NA	Aedes sp. (mosquito)	Russia: Komi republic	Europe	California
ANW09513|Chatanga_virus	ANW09513	Chatanga virus	LEIV-12812Kln	1986	Aedes sp. (mosquito)	Russia: Tver district	Europe	California
ANW09522|Chatanga_virus	ANW09522	Chatanga virus	LEIV-18739Yak	1988	Aedes sp. (mosquito)	Russia: Yakutsk district	Europe	California
AEK05550|Chatanga_virus	AEK05550	Chatanga virus	LEIV-18733	NA	Aedes nigripes (mosquito)	Russia: Yakutia	Europe	California
ANW09519|Chatanga_virus	ANW09519	Chatanga virus	LEIV-17835Yak	1988	Aedes sp. (mosquito)	Russia: Yakutsk district	Europe	California
ANW09516|Chatanga_virus	ANW09516	Chatanga virus	LEIV-13262Kam	1987	Aedes vexans	Russia: Kamchatka	Europe	California
ACC77564|Chatanga_virus	ACC77564	Chatanga virus	LEIV-17756	1988	Aedes sp.	Russia: Iakutia Republic	Asia	California
AEK05552|Chatanga_virus	AEK05552	Chatanga virus	LEIV-22712	NA	Aedes communis (mosquito)	Russia: Tyumen region	Europe	California
ABW87611|Snowshoe_hare_virus	ABW87611	Snowshoe hare virus	NA	1959	Lepus americanus	USA: Montana	North America	California
QCF29637|Snowshoe_hare_virus	QCF29637	Snowshoe hare virus	Mass Hockomock	1969	Ochlerotatus canadensis	"USA: Massachusetts, Hockomock Swamp"	North America	California
APA28989|San_Angelo_virus	APA28989	San Angelo virus	20230	1958	Anopheles pseudopunctipennis	USA: Texas	North America	California
APA29013|California_encephalitis_virus	APA29013	California encephalitis virus	BFS 283	1943	Aedes dorsalis	USA: California	North America	California
AEH02867|Tahyna_virus	AEH02867	Tahyna virus	prototype Bardos 92	1958	Aedes caspius (mosquito)	Slovakia	Europe	California
ADQ08673|Tahyna_virus	ADQ08673	Tahyna virus	22595-6	1984	NA	Czechoslovakia	Europe	California
ADQ08671|Tahyna_virus	ADQ08671	Tahyna virus	Prototype '92' Bardos	1958	Aedes caspius	Czechoslovakia	Europe	California
ADQ08670|Tahyna_virus	ADQ08670	Tahyna virus	Prototype '92' Bardos	1958	Aedes caspius	Czechoslovakia	Europe	California
UEE94601|Tahyna_orthobunyavirus	UEE94601	Tahyna orthobunyavirus	Austria/OadD806/2019	2019	Aedes vexans	"Austria: Lower Austria, Rohrau"	Europe	California
AGZ03707|Tahyna_virus	AGZ03707	Tahyna virus	236	1958	Aedes vexans	Czechoslovakia	Europe	California
AGZ03706|Tahyna_virus	AGZ03706	Tahyna virus	181/57	1962	NA	Czechoslovakia	Europe	California
AGZ03705|Tahyna_virus	AGZ03705	Tahyna virus	181	1962	Aedes vexans	Czechoslovakia	Europe	California
AGZ03703|Tahyna_virus	AGZ03703	Tahyna virus	89	1963	Aedes vexans	Czechoslovakia	Europe	California
AGZ03708|Tahyna_virus	AGZ03708	Tahyna virus	1014	1964	Aedes vexans	Czechoslovakia	Europe	California
AGZ03704|Tahyna_virus	AGZ03704	Tahyna virus	94	1963	Aedes cantans	Czechoslovakia	Europe	California
UEE94602|Tahyna_orthobunyavirus	UEE94602	Tahyna orthobunyavirus	Austria/OadD823/2019	2019	Aedes vexans	"Austria: Lower Austria, Rohrau"	Europe	California
AGZ03709|Tahyna_virus	AGZ03709	Tahyna virus	4020	1966	Aedes vexans	Czechoslovakia	Europe	California
AGZ03711|Tahyna_virus	AGZ03711	Tahyna virus	4057	1966	Aedes vexans	Czechoslovakia	Europe	California
AGZ03701|Tahyna_virus	AGZ03701	Tahyna virus	29	1963	Aedes vexans	Czechoslovakia	Europe	California
UWW10802|Tahyna_virus	UWW10802	Tahyna virus						California
AGZ03702|Tahyna_virus	AGZ03702	Tahyna virus	76	1963	Aedes vexans	Czechoslovakia	Europe	California
AGZ03710|Tahyna_virus	AGZ03710	Tahyna virus	4034	1966	Aedes vexans	Czechoslovakia	Europe	California
ADQ08672|Tahyna_virus	ADQ08672	Tahyna virus	Souche D C14019-29	1968	NA	France	Europe	California
AEH02872|Tahyna_virus	AEH02872	Tahyna virus	XJ0710	2007	Aedes vexans	China	Asia	California
AEH02868|Tahyna_virus	AEH02868	Tahyna virus	XJ0708	2007	Aedes vexans	China	Asia	California
ACF72885|Tahyna_virus	ACF72885	Tahyna virus	XJ0625	2006	Culex sp. (mosquito)	China	Asia	California
AVR54980|Chatanga_virus	AVR54980	Chatanga virus	LEIV-25152	1991	Aedes sp.	Russia: region Altai	Europe	California
ANW09510|Chatanga_virus	ANW09510	Chatanga virus	LEIV-21845Kra	1989	Aedes sp. (mosquito)	Russia: Krasnoyarsk district	Europe	California
APA28997|Lumbo_virus	APA28997	Lumbo virus	SAAr 1881	1962	Aedes pembaensis	Mozambique	Africa	California
QRX38891|Jamestown_Canyon_virus	QRX38891	Jamestown Canyon virus	JCV_B155_Cortex_FFPE_L	2018	Homo sapiens	USA	North America	California
QRX38890|Jamestown_Canyon_virus	QRX38890	Jamestown Canyon virus	JCV_B155_Cortex_frozen_L	2018	Homo sapiens	USA	North America	California
QRX38892|Jamestown_Canyon_virus	QRX38892	Jamestown Canyon virus	JCV_B155_Cerebellum_frozen_L	2018	Homo sapiens	USA	North America	California
QRX38893|Jamestown_Canyon_virus	QRX38893	Jamestown Canyon virus	JCV_B155_Cerebellum_FFPE_L	2018	Homo sapiens	USA	North America	California
QRX38889|Jamestown_Canyon_virus	QRX38889	Jamestown Canyon virus	JCV_B155_CSF_L	2018	Homo sapiens	USA	North America	California
ADK36671|Jamestown_Canyon_virus	ADK36671	Jamestown Canyon virus	520198	2004	Ochlerotatus canadensis	USA	North America	California
AXZ96242|Jamestown_Canyon_virus	AXZ96242	Jamestown Canyon virus	MN256-260	1979	Aedes sp.	Canada: Manitoba	North America	California
APA29009|Jamestown_Canyon_virus	APA29009	Jamestown Canyon virus	61V2235	1961	Culiseta inornata	USA: Colorado	North America	California
ADK36669|Jamestown_Canyon_virus	ADK36669	Jamestown Canyon virus	61V2235	1961	Culiseta inornata	USA	North America	California
QCF29631|Jamestown_Canyon_virus	QCF29631	Jamestown Canyon virus	NM5-4BU	1977	Culiseta inornata	USA: New Mexico	North America	California
ANW09486|Inkoo_virus	ANW09486	Inkoo virus	LEIV-15248Iv	1973	Aedes sp. (mosquito)	Russia: Ivanovo district	Europe	California
AOS59868|Inkoo_virus	AOS59868	Inkoo virus	Lovanger	2015	Ochlerotatus communis; adult mosquito	Sweden: Vasterbotten	Europe	California
ACF10362|Inkoo_virus	ACF10362	Inkoo virus	KN3641	1964	Aedes communis (punctor mosquito)	Finland	Europe	California
ANW09501|Inkoo_virus	ANW09501	Inkoo virus	LEIV-21643Kra	1989	Aedes sp. (mosquito)	Russia: Krasnoyarsk district	Europe	California
ANW09498|Inkoo_virus	ANW09498	Inkoo virus	LEIV-18152Yak	1988	Aedes nigripes (mosquito)	Russia: Yakutsk district	Europe	California
ANW09489|Inkoo_virus	ANW09489	Inkoo virus	LEIV-18154Yak	1989	Aedes sp. (mosquito)	Russia: Yakutsk district	Europe	California
ANW09495|Inkoo_virus	ANW09495	Inkoo virus	LEIV-22780Tyum	1990	Aedes sp. (mosquito)	Russia: Tyumen district	Europe	California
QEI47191|Jamestown_Canyon_virus	QEI47191	Jamestown Canyon virus	16/MA/01	2016	Ochlerotatus canadensis	"USA: Bristol County, Massachusetts"	North America	California
AXZ96238|Jamestown_Canyon_virus	AXZ96238	Jamestown Canyon virus	L36708	1966	Ochlerotatus abserratus	"USA: Simsbury, CT"	North America	California
ADK36670|Jamestown_Canyon_virus	ADK36670	Jamestown Canyon virus	611112	2003	Ochlerotatus abserratus	USA	North America	California
APA29005|Jerry_Slough_virus	APA29005	Jerry Slough virus	BFS 4474	1963	Culiseta inornata	USA: California	North America	California
APA28981|South_River_virus	APA28981	South River virus	NJO-94F	1960	Anopheles crucians	USA: New Jersey	North America	California
QYJ10037|Keystone_virus	QYJ10037	Keystone virus						California
QYJ10034|Keystone_virus	QYJ10034	Keystone virus	KEYV/mosquito/St. John's County-FL-2/2019	2019	Ochlerotatus atlanticus; female	"USA: St. John's County, Florida"	North America	California
QYJ10036|Keystone_virus	QYJ10036	Keystone virus	KEYV/mosquito/St. John's County-FL-4/2019	2019	Ochlerotatus atlanticus; female	"USA: St. John's County, Florida"	North America	California
QYJ10035|Keystone_virus	QYJ10035	Keystone virus	KEYV/mosquito/St. John's County-FL-3/2019	2019	Ochlerotatus atlanticus; female	"USA: St. John's County, Florida"	North America	California
AXY55025|Keystone_virus	AXY55025	Keystone virus	AR14033	2016	Culex sp.	USA: Texas	North America	California
AXY55018|Keystone_virus	AXY55018	Keystone virus	AVA1709441	2017	Culex sp.	"USA: Orange county, Texas"	North America	California
QLI33838|Keystone_virus	QLI33838	Keystone virus	KEYV/mosquito/St. John's County-FL/2019	2019	Ochlerotatus atlanticus (tormentor mosquitoes)	USA	North America	California
AWK60687|Keystone_virus	AWK60687	Keystone virus	KEYV/Homo sapiens/Gainesville-1/2016	2016	Homo sapiens	USA	North America	California
ALD52502|Keystone_virus	ALD52502	Keystone virus	KEYV/Ochlerotatus atlanticus/USA/KEYVLK01/2005	2005	Ochlerotatus atlanticus	"USA: Sarasota County, FL"	North America	California
ALD52506|Keystone_virus	ALD52506	Keystone virus	KEYV/Ochlerotatus atlanticus/USA/KEYVLK02/2005	2005	Ochlerotatus atlanticus	"USA: Sarasota County, FL"	North America	California
APA29001|Keystone_virus	APA29001	Keystone virus	B64-5587.05	1964	Ochlerotatus cf. atlanticus/tormentor	USA: Florida	North America	California
APA28985|Serra_do_Navio_virus	APA28985	Serra do Navio virus	BeAr 103645	1966	Aedes fulvus	Brazil: Ampa	South America	California
QIM58238|Melao_virus	QIM58238	Melao virus						California
QIM58239|Melao_virus	QIM58239	Melao virus						California
APA28993|Melao_virus	APA28993	Melao virus	TRVL 9375	1955	Ochlerotatus scapularis	Trinidad and Tobago	South America	California
QIM41040|Melao_virus	QIM41040	Melao virus	MV/Homo sapiens/Haiti-1/2014	2014	Homo sapiens	Haiti	South America	California
QIM58240|Melao_virus	QIM58240	Melao virus						California
ATI21270|Infirmatus_virus	ATI21270	Infirmatus virus	Tampa 08	2008	Aedes infirmatus	USA	North America	California
ATI21264|Achiote_virus	ATI21264	Achiote virus	PanAr 395145	1979	Aedes spp	Panama	South America	California
APA34119|Trivittatus_virus	APA34119	Trivittatus virus	AR42	2016	Aedes trivittatus	"USA: Denton County, Texas"	North America	California
ALI93835|Trivittatus_virus	ALI93835	Trivittatus virus	Eklund	1948	Aedes trivittatus	"USA: Bismarck, ND"	North America	California
UZT55194|Pongola_virus	UZT55194	Pongola virus						Bwamba
UZT55190|Pongola_virus	UZT55190	Pongola virus						Bwamba
UZT55187|Pongola_virus	UZT55187	Pongola virus						Bwamba
UZT55183|Pongola_virus	UZT55183	Pongola virus						Bwamba
AIN37017|Pongola_virus_-_SAAr1	AIN37017	Pongola virus - SAAr1						Bwamba
AIN37016|Pongola_virus_-_SAAr1	AIN37016	Pongola virus - SAAr1						Bwamba
AIN37019|Bwamba_orthobunyavirus	AIN37019	Bwamba orthobunyavirus	UgAr1888	1996	Anopheles funestus	Uganda	Africa	Bwamba
AIN37018|Bwamba_orthobunyavirus	AIN37018	Bwamba orthobunyavirus	M459	1937	Homo sapiens	Uganda	Africa	Bwamba
ATB53299|Gamboa_virus	ATB53299	Gamboa virus	GML438524	1987	Aedeomyia squamipennis	Panama	North America	Gamboa
ATB53298|Gamboa_virus	ATB53298	Gamboa virus	GML382716	1985	Aedeomyia squamipennis	Panama	North America	Gamboa
AMD82974|Gamboa_virus	AMD82974	Gamboa virus	GAM_122	2012	Aedeomyia squamipennis	"Panama: Central Panama, Soberania National Park"	North America	Gamboa
AMD82976|Gamboa_virus	AMD82976	Gamboa virus	GAM_131	2012	Aedeomyia squamipennis	"Panama: Central Panama, Soberania National Park"	North America	Gamboa
AIS74634|Gamboa_virus	AIS74634	Gamboa virus	GML 435718	1986	Aedeomyia squamipennis	Panama: Colon	North America	Gamboa
AIS74636|Gamboa_virus	AIS74636	Gamboa virus	MARU 10962	1962	Aedeomyia squamipennis	Panama: Panama State	North America	Gamboa
AMD82975|Gamboa_virus	AMD82975	Gamboa virus	GAM_130	2012	Aedeomyia squamipennis	"Panama: Central Panama, Soberania National Park"	North America	Gamboa
AMD82973|Gamboa_virus	AMD82973	Gamboa virus	GAM_118	2012	Aedeomyia squamipennis	"Panama: Central Panama, Soberania National Park"	North America	Gamboa
AIS74638|Alajuela_virus	AIS74638	Alajuela virus	MARU 11079	1963	Aedeomyia squamipennis	Panama: Panama State	North America	Gamboa
AIS74635|Gamboa_virus	AIS74635	Gamboa virus	GML 903023	1977	Aedeomyia squamipennis	Panama: Panama State	North America	Gamboa
ATB53297|Gamboa_virus	ATB53297	Gamboa virus	BeAr503385	1991	Aedeomyia squamipennis	Brazil	South America	Gamboa
ATB53296|Gamboa_virus	ATB53296	Gamboa virus	BeAr502380	1986	Aedeomyia squamipennis	Brazil	South America	Gamboa
AVG72380|Gamboa_virus	AVG72380	Gamboa virus	BeAn439546	1985	Columbidae	Brazil	South America	Gamboa
ATB53295|Gamboa_virus	ATB53295	Gamboa virus	BeAn448848	1986	Geotrygon montana	Brazil	South America	Gamboa
ATB53301|Gamboa_virus	ATB53301	Gamboa virus	TRVL61469	1964	Aedes sp.	Suriname	South America	Gamboa
QLA47036|San_Juan_virus	QLA47036	San Juan virus	75V446	1975	Aedeomyia squamipennis	Ecuador	South America	Gamboa
QLA46964|Gamboa_virus	QLA46964	Gamboa virus	75V20086	1975	Aedeomyia squamipennis	Ecuador	South America	Gamboa
QLA46897|Pueblo_Viejo_virus	QLA46897	Pueblo Viejo virus	E4-816	1974	Aedeomyia squamipennis	Ecuador	South America	Gamboa
ATB53300|Pueblo_Viejo_virus	ATB53300	Pueblo Viejo virus	75V-2621	1975	Aedeomyia squamipennis	Ecuador	South America	Gamboa
AIS74637|Calchaqui_virus	AIS74637	Calchaqui virus	AG 83-1347	1982	Aedeomyia squamipennis	Argentina: Santa Fe	South America	Gamboa
QCY54400|Umbre_virus	QCY54400	Umbre virus	NIV809365	1980	NA	"India: Muduvadi District, Karnataka State"	Asia	Turlock
AKO90167|Umbre_virus	AKO90167	Umbre virus	IG1424	1955	Culex bitaeniorhynchus	India	Asia	Turlock
QHA34169|Umbre_virus	QHA34169	Umbre virus	Marna	2019	Homo sapiens	France	Europe	Turlock
QHA34087|Umbre_virus	QHA34087	Umbre virus	IP	2017	Homo sapiens	France	Europe	Turlock
QCY54413|Umbre_virus	QCY54413	Umbre virus	NIV16283	1957	NA	"India: Sathuperi District, Tamil Nadu State"	Asia	Turlock
QCY54402|Umbre_virus	QCY54402	Umbre virus	NIV631308	1963	NA	"India: Vellore District, Tamil Nadu State"	Asia	Turlock
QLA46946|Lednice_virus	QLA46946	Lednice virus	6118	1963	Culex modestus	Czechoslovakia	Europe	Turlock
QFR36986|Lednice_virus	QFR36986	Lednice virus	6101	1972	Culex modestus	Czechoslovakia	Europe	Turlock
QFR36987|Lednice_virus	QFR36987	Lednice virus	6118	1972	Culex modestus	Czechoslovakia	Europe	Turlock
QFR36985|Lednice_virus	QFR36985	Lednice virus	110	1963	Culex modestus	Czechoslovakia	Europe	Turlock
QLA46939|M_Poko_virus	QLA46939	M_Poko virus	BA 365	1966	Culex sp.	Central African Republic	Africa	Turlock
QLA46842|Turlock_orthobunyavirus	QLA46842	Turlock orthobunyavirus	USA 847-32	1954	Culex tarsalis	USA	North America	Turlock
QLA47008|Wongal_virus	QLA47008	Wongal virus	MRM 168	1960	Culex annulirostris	Australia	Oceania	Koongol
AKO90161|Koongol_virus	AKO90161	Koongol virus	MRM31	1960	Culex annulirostris	Australia	Oceania	Koongol
WAD86869|Botambi_virus	WAD86869	Botambi virus						Bwamba
QLA46913|Nola_virus	QLA46913	Nola virus	DakAr B 2882	1970	Culex perfuscus	Central African Republic	Africa	Bakau
AKO90168|Witwatersrand_virus	AKO90168	Witwatersrand virus	SAAr 1062	1958	Culex rubinotus	South Africa	Africa	Ungrouped
QLA47022|Telok_Forest_virus	QLA47022	Telok Forest virus	MalP 72-4	1972	Macaca nemestrina	Malaysia	Asia	Tanjong Rabok
QLA47061|Ketapang_virus	QLA47061	Ketapang virus	MM 2549	1956	Culex (Lophoceraomyia) sp.	Malaysia	Asia	Bakau
QLA46995|Bakau_virus	QLA46995	Bakau virus	MM-2325	1956	Culexlophoceratomyia	Malaysia	Asia	Bakau
AQM74157|Wolkberg_virus	AQM74157	Wolkberg virus	2818_SA12	2013	NA	NA	NA	Nyando
AQM74139|Wolkberg_virus	AQM74139	Wolkberg virus	2562_SA3	2013	NA	NA	NA	Nyando
AQM74148|Wolkberg_virus	AQM74148	Wolkberg virus	2795_SA13	2013	NA	NA	NA	Nyando
AQM74166|Wolkberg_virus	AQM74166	Wolkberg virus	3264_SA19	2013	NA	NA	NA	Nyando
AQM74169|Wolkberg_virus	AQM74169	Wolkberg virus	SM910_SA7	2013	NA	NA	NA	Nyando
AQM74151|Wolkberg_virus	AQM74151	Wolkberg virus	2812_SA8	2013	NA	NA	NA	Nyando
AQM74154|Wolkberg_virus	AQM74154	Wolkberg virus	2813_SA6	2013	NA	NA	NA	Nyando
AQM74142|Wolkberg_virus	AQM74142	Wolkberg virus	2761_SA11	2013	NA	NA	NA	Nyando
AQM74160|Wolkberg_virus	AQM74160	Wolkberg virus	2824_SA2	2013	NA	NA	NA	Nyando
AQM74145|Wolkberg_virus	AQM74145	Wolkberg virus	2763_SA20	2013	NA	NA	NA	Nyando
AQM74163|Wolkberg_virus	AQM74163	Wolkberg virus	3011_SA14	2013	NA	NA	NA	Nyando
AJG39233|Wuhan_Louse_Fly_Virus_1	AJG39233	Wuhan Louse Fly Virus 1	BFJSC-10	2012	unidentified Hippoboscoidea	China	Asia	Nyando
WAU48777|Kaeng_Khoi_virus	WAU48777	Kaeng Khoi virus						Nyando
WAU48776|Kaeng_Khoi_virus	WAU48776	Kaeng Khoi virus						Nyando
AYF57697|Kaeng_Khoi_virus	AYF57697	Kaeng Khoi virus	WDBC1403	2014	Eucampsipoda sundaica	China	Asia	Nyando
WAU48775|Kaeng_Khoi_virus	WAU48775	Kaeng Khoi virus						Nyando
ASG81437|Kaeng_Khoi_virus	ASG81437	Kaeng Khoi virus	WDBC1210	2012	bat fly	China: Yunnan	Asia	Nyando
AIN37025|Kaeng_Khoi_virus	AIN37025	Kaeng Khoi virus	PSC-19	1969	Tadarida plicata	Thailand	Asia	Nyando
AIN37024|Mojui_dos_Campos_virus	AIN37024	Mojui dos Campos virus	BeAn276121	1976	bat(unknown species)	Brazil	South America	Nyando
QSV52391|Nyando_virus	QSV52391	Nyando virus	KW_S1_25175	2017	mosquito	Kenya	Africa	Nyando
AIN37023|Nyando_virus	AIN37023	Nyando virus	YM176-66	1966	Aedes sp.	Cameroon	Africa	Nyando
AIN37022|Nyando_virus	AIN37022	Nyando virus	ERET147	1963	Eretmapodites sp.	Ethiopia	Africa	Nyando
AIN37021|Nyando_virus	AIN37021	Nyando virus	UgAr1712	1996	Anopheles funestus	Uganda	Africa	Nyando
AIN37020|Nyando_virus	AIN37020	Nyando virus	MP401	1959	Anopheles funestus	Kenya	Africa	Nyando
QLA46988|Boraceia_virus	QLA46988	Boraceia virus	SPAr 395	1962	Anopheles cruzii	Brazil	South America	Anopheles B
QLA46985|Boraceia_virus	QLA46985	Boraceia virus	SPAr 4080	1965	Anopheles cruzii	Brazil	South America	Anopheles B
QLA46998|Anopheles_B_virus	QLA46998	Anopheles B virus	Original	1940	Anopheles boliviensis	Colombia	South America	Anopheles B
AZM68666|Triniti_virus	AZM68666	Triniti virus	BeAr800584	2014	Ochlerotatus fulvus	Brazil	South America	Ungrouped
AZM68665|Triniti_virus	AZM68665	Triniti virus	BeAn235467	1973	rodent	Brazil	South America	Ungrouped
AZM68667|Triniti_virus	AZM68667	Triniti virus	TVRl7994	1955	Trichoprosopon sp.	Trinidad and Tobago	South America	Ungrouped
QLA47057|Las_Maloyas_virus	QLA47057	Las Maloyas virus	AG80-24	1980	Anopheles albitarsis	Argentina	South America	Anopheles A
QLA46942|Lukuni_virus	QLA46942	Lukuni virus	ColAn 57389	1976	Vertebrate	Colombia	South America	Anopheles A
ATJ04174|Anopheles_A_virus	ATJ04174	Anopheles A virus	original	1940	Anopheles boliviensis	Colombia: Villavicencio Meta	South America	Anopheles A
AKO90162|Lukuni_virus	AKO90162	Lukuni virus	TRVL 10076	1955	Ochlerotatus scapularis	Trinidad and Tobago	South America	Anopheles A
ASY08212|Tacaiuma_orthobunyavirus	ASY08212	Tacaiuma orthobunyavirus	BeAr617554	1999	Haemagogus (Hag) janthinomys	Brazil	South America	Anopheles A
ASY08211|Tacaiuma_orthobunyavirus	ASY08211	Tacaiuma orthobunyavirus	BeAn73	1955	Cebus apella	Brazil	South America	Anopheles A
QLA46889|Tacaiuma_orthobunyavirus	QLA46889	Tacaiuma orthobunyavirus	SpH 32580	1975	Homo sapiens	Brazil	South America	Anopheles A
QLA47098|Bangui_virus	QLA47098	Bangui virus	DakHB 754	1970	Homo sapiens	Central African Republic	Africa	Ungrouped
ABT-DRC594|Bangui_virus	No_Accession	Bangui virus	DRC594	2017	Human	DRC	Africa	Ungrouped
AYC76694|Nyangole_orthobunyavirus	AYC76694	Nyangole orthobunyavirus	E0-202	2013	Homo sapiens	Uganda	Africa	Ungrouped
AKO90164|Tataguine_virus	AKO90164	Tataguine virus	H9963	1971	NA	Nigeria	Africa	Tanga
AJT55738|Tataguine_virus	AJT55738	Tataguine virus						Tanga
ATI21259|Tataguine_virus	ATI21259	Tataguine virus	IBH10362	1966	Homo sapiens	Nigeria	Africa	Tanga
UZT55174|Tataguine_virus	UZT55174	Tataguine virus						Tanga
AXS76878|Tataguine_virus	AXS76878	Tataguine virus	HB72P583	1972	Homo sapiens	Central African Republic: Batangafo region	Africa	Tanga
QLA46886|Tataguine_virus	QLA46886	Tataguine virus	79V1463	1979	Anopheles sp.	Gambia	Africa	Tanga
QLA47051|Okola_virus	QLA47051	Okola virus	YM 50	1964	Eretmapodites chrysogaster	Cameroon	Africa	Tanga
QLA47025|Tanga_virus	QLA47025	Tanga virus	MP 1329	1962	Anopheles funestus	Tanzania	Africa	Tanga
ARI46630|Laguna_Larga_virus	ARI46630	Laguna Larga virus	CbaAr 426	1965	Ochlerotatus albifasciatus	Argentina	South America	Bunyamwera
AKX73301|Bunyamwera_virus	AKX73301	Bunyamwera virus	SFCrEq231	2013	horse	Argentina	South America	Bunyamwera
AKX73305|Bunyamwera_virus	AKX73305	Bunyamwera virus						Bunyamwera
