taxon	accession	organism	strain	collection_year	host	collection_location	collection_continent	serogroup
AXP32046|Peaton_virus	AXP32046	Peaton virus						Simbu
CCG93475|Peaton_virus	CCG93475	Peaton virus						Simbu
QCT81364|Peaton_virus	QCT81364	Peaton virus	cs245	1976	Culicoides brevitarsis	Australia	Oceania	Simbu
QCT81366|Peaton_virus	QCT81366	Peaton virus	cs347	1980	Culicoides brevitarsis	Australia	Oceania	Simbu
QCT81365|Peaton_virus	QCT81365	Peaton virus	cs322	1980	Bos taurus	Australia	Oceania	Simbu
QCT81358|Aino_virus	QCT81358	Aino virus	cs378	1979	Culicoides brevitarsis	Australia	Oceania	Simbu
QCT81355|Aino_virus	QCT81355	Aino virus	cs990	1991	Culicoides brevitarsis	Australia	Oceania	Simbu
QCT81367|Thimiri_orthobunyavirus	QCT81367	Thimiri orthobunyavirus	cs0001	1979	Culicoides histrio	Australia	Oceania	Simbu
UXG49540|Sango_virus	UXG49540	Sango virus						Simbu
UXG49536|Sango_virus	UXG49536	Sango virus						Simbu
CCG93483|Sango_virus	CCG93483	Sango virus						Simbu
QCT81351|Aino_virus	QCT81351	Aino virus	B7974	1968	Culicoides brevitarsis	Australia	Oceania	Simbu
QCT81352|Aino_virus	QCT81352	Aino virus	cs276	1979	Culicoides brevitarsis	Australia	Oceania	Simbu
QCT81357|Aino_virus	QCT81357	Aino virus	cs1574	1983	Bos taurus	Australia	Oceania	Simbu
H2AM11|Bovine_Schmallenberg_virus_BH80/Germany/2011	H2AM11	Bovine Schmallenberg virus BH80/Germany/2011						Simbu
AIP98324|Schmallenberg_virus	AIP98324	Schmallenberg virus						Simbu
CCF55029|Schmallenberg_virus	CCF55029	Schmallenberg virus						Simbu
AIP98323|Schmallenberg_virus	AIP98323	Schmallenberg virus						Simbu
AGC84160|Schmallenberg_virus	AGC84160	Schmallenberg virus	Germany	2011	NA	Germany	Europe	Simbu
AIP98321|Schmallenberg_virus	AIP98321	Schmallenberg virus						Simbu
AGU16235|Schmallenberg_virus	AGU16235	Schmallenberg virus	F6	2011	Bos taurus	Netherlands	Europe	Simbu
AIP98320|Schmallenberg_virus	AIP98320	Schmallenberg virus	79.4	2012	Bos taurus	"Switzerland: Muehleberg, BE"	Europe	Simbu
AIP98322|Schmallenberg_virus	AIP98322	Schmallenberg virus						Simbu
AQY63044|Schmallenberg_virus	AQY63044	Schmallenberg virus	SBV-Hun6	2014	Bos taurus	Hungary	Europe	Simbu
AQY63024|Schmallenberg_virus	AQY63024	Schmallenberg virus	SBV-Hun1	2014	Bos taurus	Hungary	Europe	Simbu
AQY63040|Schmallenberg_virus	AQY63040	Schmallenberg virus	SBV-Hun5	2014	Bos taurus	Hungary	Europe	Simbu
AQY63032|Schmallenberg_virus	AQY63032	Schmallenberg virus	SBV-Hun3	2014	Bos taurus	Hungary	Europe	Simbu
AKA63351|Schmallenberg_virus	AKA63351	Schmallenberg virus	D495/12-1	2012	Bos taurus	Germany	Europe	Simbu
