taxon	order_in_fasta	accession	organism	strain	collection_year	host	collection_location	collection_continent	serogroup
AXP33558|Abras_virus	442	AXP33558	Abras virus	75V1183	1974	Culex paracrybda	Ecuador	South America	Patois
QLA47005|Abras_virus	588	QLA47005	Abras virus	75V1183	1974	Culex paracrybda	Ecuador	South America	Patois
QLA47108|Acara_virus	611	QLA47108	Acara virus	BeAn 27639	1961	Mus musculus	Brazil	South America	Capim
ATI21262|Achiote_virus	357	ATI21262	Achiote virus	PanAr 395144	1973	Aedes spp	Panama	South America	California
ATI21264|Achiote_virus	358	ATI21264	Achiote virus	PanAr 395145	1979	Aedes spp	Panama	South America	California
AXP31990|Aino_virus	417	AXP31990	Aino virus	JaNAr 28	1964	Culex tritaeniorhynchus	"Japan: Ainotown, Nagasaki"	Asia	Simbu
QCT81351|Aino_virus	516	QCT81351	Aino virus	B7974	1968	Culicoides brevitarsis	Australia	Oceania	Simbu
QCT81352|Aino_virus	517	QCT81352	Aino virus	cs276	1979	Culicoides brevitarsis	Australia	Oceania	Simbu
QCT81353|Aino_virus	518	QCT81353	Aino virus	cs296	1979	bovine	Australia	Oceania	Simbu
QCT81354|Aino_virus	519	QCT81354	Aino virus	cs655	1980	Culicoides brevitarsis	Australia	Oceania	Simbu
QCT81355|Aino_virus	520	QCT81355	Aino virus	cs990	1991	Culicoides brevitarsis	Australia	Oceania	Simbu
QCT81356|Aino_virus	521	QCT81356	Aino virus	cs1068	1981	Culicoides brevitarsis	Australia	Oceania	Simbu
QCT81357|Aino_virus	522	QCT81357	Aino virus	cs1574	1983	Bos taurus	Australia	Oceania	Simbu
QCT81358|Aino_virus	523	QCT81358	Aino virus	cs378	1979	Culicoides brevitarsis	Australia	Oceania	Simbu
UGK54253|Akabane_orthobunyavirus	641	UGK54253	Akabane orthobunyavirus	ISR-170/18	2018	sheep	Israel	Asia	Simbu
AFH96035|Akabane_virus	67	AFH96035	Akabane virus	AKVS-7/SKR/2010	2010	cattle	South Korea	Asia	Simbu
AKP63313|Akabane_virus	221	AKP63313	Akabane virus	DHL10M110	2010	Anopheles vagus (mosquito)	China	Asia	Simbu
ALE15081|Akabane_virus	236	ALE15081	Akabane virus	JaLAB39	1959	Aedes vexans	Australia	Oceania	Simbu
APU93383|Akabane_virus	299	APU93383	Akabane virus	DHL10M110	2010	Anopheles vagus	China: Yunnan Province	Asia	Simbu
ASM94312|Akabane_virus	340	ASM94312	Akabane virus	GXLCH02	2016	Rhizomys pruinosus	China	Asia	Simbu
ASM94315|Akabane_virus	341	ASM94315	Akabane virus	GXLCH04	2016	Rhizomys pruinosus	China	Asia	Simbu
ASM94318|Akabane_virus	342	ASM94318	Akabane virus	GXLCH16-70	2016	Rhizomys pruinosus	China	Asia	Simbu
ASM94321|Akabane_virus	343	ASM94321	Akabane virus	GXLCH70N	2016	Rhizomys pruinosus	China	Asia	Simbu
ASM94324|Akabane_virus	344	ASM94324	Akabane virus	GXLCH01	2016	Rhizomys pruinosus	China	Asia	Simbu
AYO61087|Akabane_virus	462	AYO61087	Akabane virus	GXDH01	2016	goat	China	Asia	Simbu
AZQ20748|Akabane_virus	466	AZQ20748	Akabane virus	HN10169	2010	Anopheles sinensis	China	Asia	Simbu
AZW33610|Akabane_virus	467	AZW33610	Akabane virus	HN10174	2010	Culex quinquefasciatus	China	Asia	Simbu
BAR94029|Akabane_virus	468	BAR94029	Akabane virus	TS-C2	1979	Bos taurus	Japan	Asia	Simbu
BCG45239|Akabane_virus	469	BCG45239	Akabane virus	KM-2/Br/06	2006	Bos taurus	Japan: Kumamoto	Asia	Simbu
BCG45243|Akabane_virus	470	BCG45243	Akabane virus	FI-1/Br/08	2008	Bos taurus	Japan: Fukui	Asia	Simbu
QCT81312|Akabane_virus	478	QCT81312	Akabane virus	B8935	1968	Bos taurus	Australia	Oceania	Simbu
QCT81313|Akabane_virus	479	QCT81313	Akabane virus	CS0016	1975	Culicoides brevitarsis	Australia	Oceania	Simbu
QCT81314|Akabane_virus	480	QCT81314	Akabane virus	CS0221	1976	Culicoides brevitarsis	Australia	Oceania	Simbu
QCT81315|Akabane_virus	481	QCT81315	Akabane virus	CS294	1979	Bos taurus	Australia	Oceania	Simbu
QCT81316|Akabane_virus	482	QCT81316	Akabane virus	CS396	1979	Culicoides brevitarsis	Australia	Oceania	Simbu
QCT81317|Akabane_virus	483	QCT81317	Akabane virus	CS505	1979	Bos taurus	Australia	Oceania	Simbu
QCT81318|Akabane_virus	484	QCT81318	Akabane virus	CS700	1981	Bos taurus	Australia	Oceania	Simbu
QCT81319|Akabane_virus	485	QCT81319	Akabane virus	CS710	1980	Culicoides brevitarsis	Australia	Oceania	Simbu
QCT81320|Akabane_virus	486	QCT81320	Akabane virus	CS744	1981	Culicoides brevitarsis	Australia	Oceania	Simbu
QCT81321|Akabane_virus	487	QCT81321	Akabane virus	CS749	1981	Bos taurus	Australia	Oceania	Simbu
QCT81322|Akabane_virus	488	QCT81322	Akabane virus	CS951	1980	Culicoides brevitarsis	Australia	Oceania	Simbu
QCT81324|Akabane_virus	489	QCT81324	Akabane virus	CS1416	1981	Culicoides brevitarsis	Australia	Oceania	Simbu
QCT81325|Akabane_virus	490	QCT81325	Akabane virus	CS1711	1984	Bos taurus	Australia	Oceania	Simbu
QCT81326|Akabane_virus	491	QCT81326	Akabane virus	CS1776	1984	Culicoides brevitarsis	Australia	Oceania	Simbu
QCT81327|Akabane_virus	492	QCT81327	Akabane virus	CS1777	1984	Culicoides brevitarsis	Australia	Oceania	Simbu
QCT81328|Akabane_virus	493	QCT81328	Akabane virus	CS1778	1984	Culicoides brevitarsis	Australia	Oceania	Simbu
QCT81329|Akabane_virus	494	QCT81329	Akabane virus	CS1798	1984	Culicoides brevitarsis	Australia	Oceania	Simbu
QCT81330|Akabane_virus	495	QCT81330	Akabane virus	DPP231	1977	Bos taurus	Australia	Oceania	Simbu
QCT81331|Akabane_virus	496	QCT81331	Akabane virus	R7949	1968	Bos taurus	Australia	Oceania	Simbu
QCT81332|Akabane_virus	497	QCT81332	Akabane virus	CS215	1976	Bos taurus	Australia	Oceania	Simbu
QCT81333|Akabane_virus	498	QCT81333	Akabane virus	CS228	1976	Bos taurus	Australia	Oceania	Simbu
QCT81334|Akabane_virus	499	QCT81334	Akabane virus	CS231	1982	Bos taurus	Australia	Oceania	Simbu
QCT81335|Akabane_virus	500	QCT81335	Akabane virus	CS233	1979	Bos taurus	Australia	Oceania	Simbu
QCT81336|Akabane_virus	501	QCT81336	Akabane virus	CS235	1979	Bos taurus	Australia	Oceania	Simbu
QCT81337|Akabane_virus	502	QCT81337	Akabane virus	CS236	1979	Bos taurus	Australia	Oceania	Simbu
QCT81338|Akabane_virus	503	QCT81338	Akabane virus	CS241	1978	Culicoides brevitarsis	Australia	Oceania	Simbu
QCT81339|Akabane_virus	504	QCT81339	Akabane virus	CS502	1976	Ovis aries	Australia	Oceania	Simbu
QCT81340|Akabane_virus	505	QCT81340	Akabane virus	CS506	1979	Bos taurus	Australia	Oceania	Simbu
QCT81341|Akabane_virus	506	QCT81341	Akabane virus	CS661	1980	Culicoides brevitarsis	Australia	Oceania	Simbu
QCT81342|Akabane_virus	507	QCT81342	Akabane virus	CS979	1981	Culicoides brevitarsis	Australia	Oceania	Simbu
QCT81343|Akabane_virus	508	QCT81343	Akabane virus	C1316	1980	Bos taurus	Australia	Oceania	Simbu
QCT81344|Akabane_virus	509	QCT81344	Akabane virus	CS1383	1980	Culicoides brevitarsis	Australia	Oceania	Simbu
QCT81345|Akabane_virus	510	QCT81345	Akabane virus	CS1586	1983	Culicoides brevitarsis	Australia	Oceania	Simbu
QCT81346|Akabane_virus	511	QCT81346	Akabane virus	CS1796	1984	Culicoides brevitarsis	Australia	Oceania	Simbu
QCT81347|Akabane_virus	512	QCT81347	Akabane virus	DPP232	1982	Bos taurus	Australia	Oceania	Simbu
QCT81348|Akabane_virus	513	QCT81348	Akabane virus	DPP237	1983	Bos taurus	Australia	Oceania	Simbu
QCT81349|Akabane_virus	514	QCT81349	Akabane virus	DPP240	1983	Bos taurus	Australia	Oceania	Simbu
QCT81350|Akabane_virus	515	QCT81350	Akabane virus	DPP261	1983	Bos taurus	Australia	Oceania	Simbu
QQH14721|Akabane_virus	614	QQH14721	Akabane virus	TJ2016	NA	Bos taurus	China	Asia	Simbu
QQL13652|Akabane_virus	615	QQL13652	Akabane virus	CX-01	2019	goat	China	Asia	Simbu
YP_001497159|Akabane_virus	643	YP_001497159	Akabane virus	OBE-1	1974	Bos taurus	Japan	Asia	Simbu
AIS74638|Alajuela_virus	157	AIS74638	Alajuela virus	MARU 11079	1963	Aedeomyia squamipennis	Panama: Panama State	North America	Gamboa
YP_009507859|Alajuela_virus	660	YP_009507859	Alajuela virus	MARU 11079	1963	Aedeomyia squamipennis	Panama: Panama State	North America	Gamboa
AKC89288|Anadyr_virus	201	AKC89288	Anadyr virus	LEIV-13128Kam	1983	mixed pool of mosquitoes	Russia: Kamchatka	Europe	Bunyamwera
ALN13267|Anadyr_virus	243	ALN13267	Anadyr virus	LEIV-13128Kam	1986	Aedes sp. (mosquito)	"Russia: Kamchatka, Kamenskoe village"	Europe	Bunyamwera
ALN13271|Anadyr_virus	244	ALN13271	Anadyr virus	LEIV-13130Kam	1986	Aedes sp. (mosquito)	"Russia: Kamchatka, Kamenskoe village"	Europe	Bunyamwera
ALN13275|Anadyr_virus	245	ALN13275	Anadyr virus	LEIV-16002Mg	1987	Aedes sp. (mosquito)	"Russia: Magadan region, Susumanskiy district, Burkandya mine"	Europe	Bunyamwera
ALN13283|Anadyr_virus	246	ALN13283	Anadyr virus	LEIV-16199Mg	1987	"pool of mosquitos (Aedes comminis, Aedes punctor, Aedes excrucians)"	"Russia: Magadan region, Telnitskiy district, Verniy-on-Kolyma village"	Europe	Bunyamwera
ALN13287|Anadyr_virus	247	ALN13287	Anadyr virus	LEIV-16208Mg	1987	Aedes sp. (mosquito)	"Russia: Magadan region, Telnitskiy district, Ust-omchur village"	Europe	Bunyamwera
ALN13291|Anadyr_virus	248	ALN13291	Anadyr virus	LEIV-16356Mg	1987	Aedes vexans	"Russia: Magadan region, Yagodinskiy district, Ust-Toskay floodplain of Toskay river"	Europe	Bunyamwera
ALN13295|Anadyr_virus	249	ALN13295	Anadyr virus	LEIV-17769Yak	1988	Aedes sp. (mosquito)	"Russia: Yakutia, Oymyakonsky district, Elgi river"	Europe	Bunyamwera
ALN13299|Anadyr_virus	250	ALN13299	Anadyr virus	LEIV-18098Yak	1987	Aedes nigripes	"Russia: Yakutia, Ust-Yansky district, point of 100 km to west from Deputatsky village"	Europe	Bunyamwera
ALN13303|Anadyr_virus	251	ALN13303	Anadyr virus	LEIV-18136Yak	1987	"pool of mosquitos (Aedes nigripes, Aedes mercurator)"	"Russia: Yakutia, Ust-Yansky district, point of 100 km to west from Deputatsky village"	Europe	Bunyamwera
ALN13307|Anadyr_virus	252	ALN13307	Anadyr virus	LEIV-18146Yak	1988	Aedes nigripes	"Russia: Yakutia, Ust-Yansky district, point of 100 km to west from Deputatsky village"	Europe	Bunyamwera
ALN13311|Anadyr_virus	253	ALN13311	Anadyr virus	LEIV-18353Yak	1988	Aedes nigripes	"Russia: Yakutia, Ust-Yansky district, point of 100 km to west from Deputatsky village"	Europe	Bunyamwera
ALN13319|Anadyr_virus	254	ALN13319	Anadyr virus	LEIV-18715Yak	1988	Aedes sp. (mosquito)	"Russia: Yakutia, Mirnensky district"	Europe	Bunyamwera
ALN13323|Anadyr_virus	255	ALN13323	Anadyr virus	LEIV-23263Tyum	1990	Aedes sp. (mosquito)	"Russia: Tyumen region, point of 60 km up to river from Tazovsky village"	Europe	Bunyamwera
ANB45710|Anadyr_virus	268	ANB45710	Anadyr virus	LEIV-13395Mg	1986	Aedes sp. (mosquito)	"Russia: Magadan region, Krasneno village"	Europe	Bunyamwera
AXP31994|Anadyr_virus	418	AXP31994	Anadyr virus	LEIV 13395Mg	1986	Aedes sp. (mosquito)	"Russia: Magadan region, Krasneno village"	Europe	Bunyamwera
YP_010085087|Anadyr_virus	702	YP_010085087	Anadyr virus	LEIV-13395Mg	1986	Aedes sp. (mosquito)	"Russia: Magadan region, Krasneno village"	Europe	Bunyamwera
APM83095|Ananindeua_virus	296	APM83095	Ananindeua virus	BEAN109303	1966	Caluromys philander	Brazil	South America	Guama
AXY55022|Ananindeua_virus	454	AXY55022	Ananindeua virus	BeAn20525	1960	sentinel mouse	Brazil	South America	Guama
QLA47001|Ananindeua_virus	587	QLA47001	Ananindeua virus	BeAn 109303	1966	Caluromys philander	Brazil	South America	Guama
AEZ35255|Anhembi_virus	56	AEZ35255	Anhembi virus	SPAr2984	1965	Phoniomyia pilicauda	Brazil	South America	Wyeomyia
YP_009666889|Anhembi_virus	672	YP_009666889	Anhembi virus	SPAr2984	1965	NA	Brazil	South America	Wyeomyia
ATJ04174|Anopheles_A_virus	362	ATJ04174	Anopheles A virus	original	1940	Anopheles boliviensis	Colombia: Villavicencio Meta	South America	Anopheles A
QLA46998|Anopheles_B_virus	586	QLA46998	Anopheles B virus	Original	1940	Anopheles boliviensis	Colombia	South America	Anopheles B
AVX48946|Apeu_virus	372	AVX48946	Apeu virus	BeAn848	1955	Sapajus apella	Brazil	South America	Group C
AXP31986|Babahoya_virus	416	AXP31986	Babahoya virus	75V2858	1975	Aedes spp	Ecuador	South America	Patois
AXP33559|Babahoya_virus	443	AXP33559	Babahoya virus	75V2858	1975	Culex ocossa	Ecuador	South America	Patois
AKO90156|Bahig_virus	204	AKO90156	Bahig virus	EgB 90	1966	Oriolus oriolus	Egypt	Africa	Tete
QLA46995|Bakau_virus	585	QLA46995	Bakau virus	MM-2325	1956	Culexlophoceratomyia	Malaysia	Asia	Bakau
AXQ05041|Balagodu_virus	448	AXQ05041	Balagodu virus	PB1	1963	Ardeola grayii	India	Asia	Simbu
ABT-DRC594|Bangui_virus	472	No_Accession	Bangui virus	DRC594	2017	Human	DRC	Africa	Ungrouped
QLA47098|Bangui_virus	609	QLA47098	Bangui virus	DakHB 754	1970	Homo sapiens	Central African Republic	Africa	Ungrouped
AFY52605|Batai_virus	75	AFY52605	Batai virus	MM2222	1955	Culex gelidus	Malaysia	Asia	Bunyamwera
AFY52606|Batai_virus	76	AFY52606	Batai virus	Chittoor/IG-20217	1957	Anopheles barbirostris	India	Asia	Bunyamwera
AFY52607|Batai_virus	77	AFY52607	Batai virus	UgMP-6830	NA	Aedes abnormalis	Uganda	Africa	Bunyamwera
AFY52608|Batai_virus	78	AFY52608	Batai virus	MS50	1962	Aedes curtipes	Malaysia	Asia	Bunyamwera
AGM40000|Batai_virus	89	AGM40000	Batai virus	Italy-2009	2009	mosquito	Italy	Europe	Bunyamwera
AHW40489|Batai_virus	122	AHW40489	Batai virus	NM/12	2012	cattle	China: Inner Mongolia	Asia	Bunyamwera
AKM28566|Batai_virus	202	AKM28566	Batai virus	CVOV 41.3	2013	Anopheles maculipennis	Austria	Europe	Bunyamwera
ALN13241|Batai_virus	238	ALN13241	Batai virus	LEIV-1217Astr	2003	Anopheles maculipennis (mosquito)	"Russia: Astrakhan district, Volga river delta"	Europe	Bunyamwera
ALN13249|Batai_virus	239	ALN13249	Batai virus	LEIV-2324Astr	2002	Anopheles maculipennis (mosquito)	"Russia: Astrakhan district, Volga river delta"	Europe	Bunyamwera
ALN13253|Batai_virus	240	ALN13253	Batai virus	LEIV-99Astr	2004	Anopheles maculipennis (mosquito)	"Russia: Astrakhan district, Volga river delta"	Europe	Bunyamwera
ALN13257|Batai_virus	241	ALN13257	Batai virus	LEIV-2342Astr	2002	Anopheles maculipennis (mosquito)	"Russia: Astrakhan district, Volga river delta"	Europe	Bunyamwera
ALN13261|Batai_virus	242	ALN13261	Batai virus	LEIV-2303Astr	2002	Anopheles maculipennis (mosquito)	"Russia: Astrakhan district, Volga river delta"	Europe	Bunyamwera
APF29570|Batai_virus	294	APF29570	Batai virus	K10441	1993	Culex annulirostris	Australia	Oceania	Bunyamwera
APU88430|Batai_virus	298	APU88430	Batai virus	ZJ2014	2014	NA	China	Asia	Bunyamwera
AXR75707|Batai_virus	449	AXR75707	Batai virus	PV424	2016	Phoca vitulina	Germany	Europe	Bunyamwera
UEP19790|Batai_virus	639	UEP19790	Batai virus	53.2	2011	mosquito	Germany	Europe	Bunyamwera
YP_009666906|Batai_virus	677	YP_009666906	Batai virus	MS50	1962	Aedes curtipes	Malaysia	Asia	Bunyamwera
QLA46991|Batama_virus	584	QLA46991	Batama virus	DakAnB 1292	1970	Euplectes afer	Central African Republic	Africa	Tete
ANI69984|Bellavista_virus	269	ANI69984	Bellavista virus	PRD0552	2009	Culex (Melanoconion) portesi	Peru: Iquitos	South America	Guama
QLA47087|Benevides_virus	608	QLA47087	Benevides virus	BeAr 153564	1968	Mus musculus	Brazil	South America	Capim
QLA47084|Benfica_virus	607	QLA47084	Benfica virus	71U344	1905	Hamster	Peru	South America	Capim
QLA47081|Bertioga_virus	606	QLA47081	Bertioga virus	76V25643	1976	Culex (Melanoconion) sp.	Brazil	South America	Guama
AKO90157|Bimiti_virus	205	AKO90157	Bimiti virus	TRVL 8362	1955	Culex spissipes	Trinidad and Tobago	South America	Guama
YP_009507866|Bimiti_virus	661	YP_009507866	Bimiti virus	TRVL 8362	1955	Culex spissipes	Trinidad and Tobago	South America	Guama
AXP31998|Birao_virus	419	AXP31998	Birao virus	DakArB 2198	1969	Anopheles pharoensis	"Central African Republic: Birao Village, Bangui"	Africa	Bunyamwera
AXZ96246|Birao_virus	458	AXZ96246	Birao virus	DakArB 2198	1969	Anopheles pharoensis	Central African Republic: Banugui	Africa	Bunyamwera
YP_009666996|Birao_virus	693	YP_009666996	Birao virus	DakArB 2198	1969	Anopheles pharoensis	Central African Republic: Banugui	Africa	Bunyamwera
QSV51825|Bobaya_virus	621	QSV51825	Bobaya virus	DakAnB 2208	1971	Turdus libonyana	Central African Republic	Africa	Ungrouped
QLA46985|Boraceia_virus	582	QLA46985	Boraceia virus	SPAr 4080	1965	Anopheles cruzii	Brazil	South America	Anopheles B
QLA46988|Boraceia_virus	583	QLA46988	Boraceia virus	SPAr 395	1962	Anopheles cruzii	Brazil	South America	Anopheles B
AXP32002|Bozo_virus	420	AXP32002	Bozo virus	DakArB 7343	1975	Aedes opok	Central African Republic	Africa	Bunyamwera
AXZ96250|Bozo_virus	459	AXZ96250	Bozo virus	DakArB 7343	1975	Aedes opok	Central African Republic: Bozo	Africa	Bunyamwera
YP_009667001|Bozo_virus	694	YP_009667001	Bozo virus	DakArB 7343	1975	Aedes opok	Central African Republic: Bozo	Africa	Bunyamwera
AGS94386|Brazoran_virus	91	AGS94386	Brazoran virus	Original	2012	Culex sp.	USA	North America	Ungrouped
YP_008400138|Brazoran_virus	647	YP_008400138	Brazoran virus	Original	2012	Culex sp.	USA	North America	Ungrouped
AKB96243|Bruconha_virus	184	AKB96243	Bruconha virus	77V74814	1977	sentinel mouse	Brazil	South America	Group C
QLA46982|Bruconha_virus	581	QLA46982	Bruconha virus	77V14676	1976	Culex (Melanoconion) sp.	Brazil	South America	Group C
AJD77610|Buffalo_Creek_virus	164	AJD77610	Buffalo Creek virus	DPP186	1982	Anopheles meraukensis	Australia	Oceania	Mapputta
QSV52379|Bunyamwera_orthobunyavirus	622	QSV52379	Bunyamwera orthobunyavirus	KW_S1_25397	2017	mosquito	Kenya	Africa	Bunyamwera
QSV52380|Bunyamwera_orthobunyavirus	623	QSV52380	Bunyamwera orthobunyavirus	KW_S1_24873	2017	mosquito	Kenya	Africa	Bunyamwera
QSV52382|Bunyamwera_orthobunyavirus	624	QSV52382	Bunyamwera orthobunyavirus	KW_S1_25204	2017	mosquito	Kenya	Africa	Bunyamwera
UAM96129|Bunyamwera_orthobunyavirus	633	UAM96129	Bunyamwera orthobunyavirus	84Brakna/ME	2015	sheep	Mauritania	Africa	Bunyamwera
UEP19793|Bunyamwera_orthobunyavirus	640	UEP19793	Bunyamwera orthobunyavirus	ATCC(R) VR-87	1943	mosquito	Uganda	Africa	Bunyamwera
AEQ54727|Bunyamwera_virus	54	AEQ54727	Bunyamwera virus	AMH001130	2009	Aedes mcintoshi	Kenya	Africa	Bunyamwera
AIZ49762|Bunyamwera_virus	160	AIZ49762	Bunyamwera virus	GSA/S4/11232/WT	2009	Aedes mcintoshi	Kenya	Africa	Bunyamwera
AIZ49763|Bunyamwera_virus	161	AIZ49763	Bunyamwera virus	MGD/S1/12060/WT	2009	Anopheles funestus	Kenya	Africa	Bunyamwera
AKX73301|Bunyamwera_virus	222	AKX73301	Bunyamwera virus	SFCrEq231	2013	horse	Argentina	South America	Bunyamwera
AXP32006|Bunyamwera_virus	421	AXP32006	Bunyamwera virus	46A-122	2006	Aedes ochraceus	"Kenya: Desai, Garissa"	Africa	Bunyamwera
NP_047211|Bunyamwera_virus	473	NP_047211	Bunyamwera virus	NA	NA	NA	NA	Africa	Bunyamwera
UCD53702|Bunyavirales_sp.	636	UCD53702	Bunyavirales sp.	L7-7	2012	wingless bat flies	China: Yunnan	Asia	Ungrouped
QLA47078|Bushbush_virus	605	QLA47078	Bushbush virus	TRVL 26668	1959	Culex accelerans	Trinidad and Tobago	South America	Capim
AHY22338|Buttonwillow_virus	131	AHY22338	Buttonwillow virus	BFS 5002	1964	Culicoides sp.	USA	North America	Simbu
AXP32010|Buttonwillow_virus	422	AXP32010	Buttonwillow virus	A 7956	1961	Sylvilagus audubonii	"USA: Kern County, CA"	North America	Simbu
YP_009666926|Buttonwillow_virus	683	YP_009666926	Buttonwillow virus	BFS 5002	1964	Culicoides sp.	USA	North America	Simbu
AIN37018|Bwamba_orthobunyavirus	142	AIN37018	Bwamba orthobunyavirus	M459	1937	Homo sapiens	Uganda	Africa	Bwamba
AIN37019|Bwamba_orthobunyavirus	143	AIN37019	Bwamba orthobunyavirus	UgAr1888	1996	Anopheles funestus	Uganda	Africa	Bwamba
YP_009362049|Bwamba_orthobunyavirus	651	YP_009362049	Bwamba orthobunyavirus	M459	1937	Homo sapiens	Uganda	Africa	Bwamba
AGI03946|Cache_Valley_virus	85	AGI03946	Cache Valley virus	MNZ-92011	2011	Homo sapiens	USA	North America	Bunyamwera
ARI46662|Cache_Valley_virus	332	ARI46662	Cache Valley virus	6V633	1956	Culiseta inornata	USA	North America	Bunyamwera
ARI46666|Cache_Valley_virus	333	ARI46666	Cache Valley virus	W728-67	1967	Aedes communis	USA	North America	Bunyamwera
ARI46670|Cache_Valley_virus	334	ARI46670	Cache Valley virus	W308-67	1967	Aedes trivittatus	USA	North America	Bunyamwera
ARI46674|Cache_Valley_virus	335	ARI46674	Cache Valley virus	MPB1-1551	1971	Psorophora confinnis	Mexico	North America	Bunyamwera
ARI46678|Cache_Valley_virus	336	ARI46678	Cache Valley virus	CK-102	1980	sheep	USA	North America	Bunyamwera
ARI46682|Cache_Valley_virus	337	ARI46682	Cache Valley virus	MI80-1-450	1980	horse	USA	North America	Bunyamwera
ARI46686|Cache_Valley_virus	338	ARI46686	Cache Valley virus	WI-03BS7669	2003	Homo sapiens	USA	North America	Bunyamwera
AXU40907|Cache_Valley_virus	452	AXU40907	Cache Valley virus	6V633	2018	NA	United Kingdom	Europe	Bunyamwera
QHN12711|Cache_Valley_virus	550	QHN12711	Cache Valley virus	R103016b	2015	Homo sapiens	USA: Missouri	North America	Bunyamwera
QYS16045|Cache_Valley_virus	631	QYS16045	Cache Valley virus	W08491	NA	Culex tarsalis	USA	North America	Bunyamwera
QYS16046|Cache_Valley_virus	632	QYS16046	Cache Valley virus	4B	NA	Aedes japonicus	USA	North America	Bunyamwera
YP_009666950|Cache_Valley_virus	686	YP_009666950	Cache Valley virus	6V633	1956	Culiseta inornata	USA	North America	Bunyamwera
AEZ35283|Cachoeira_Porteira_virus	66	AEZ35283	Cachoeira Porteira virus	BeAr328208	1977	Sabethes glaucadaemon	Brazil	South America	Wyeomyia
YP_009666900|Cachoeira_Porteira_virus	675	YP_009666900	Cachoeira Porteira virus	NA	NA	NA	Brazil	South America	Wyeomyia
AIS74637|Calchaqui_virus	156	AIS74637	Calchaqui virus	AG 83-1347	1982	Aedeomyia squamipennis	Argentina: Santa Fe	South America	Gamboa
APA29013|California_encephalitis_virus	292	APA29013	California encephalitis virus	BFS 283	1943	Aedes dorsalis	USA: California	North America	California
YP_010084300|California_encephalitis_virus	697	YP_010084300	California encephalitis virus	BFS 283	1943	Aedes dorsalis	USA: California	North America	California
AGM34033|Calovo_virus	88	AGM34033	Calovo virus	138-pool 468	1983	NA	Yugoslavia	Europe	Bunyamwera
AHZ64955|Calovo_virus	132	AHZ64955	Calovo virus	134	1963	NA	Czech Republic	Europe	Bunyamwera
AHZ64956|Calovo_virus	133	AHZ64956	Calovo virus	JAn (MS3)	1969	NA	Croatia	Europe	Bunyamwera
AHZ64957|Calovo_virus	134	AHZ64957	Calovo virus	8020	1975	NA	Slovakia	Europe	Bunyamwera
AHZ64958|Calovo_virus	135	AHZ64958	Calovo virus	8040	1975	NA	Slovakia	Europe	Bunyamwera
QLA47075|Cananeia_virus	604	QLA47075	Cananeia virus	SPAn 64962	1976	Mus musculus	Brazil	South America	Guama
ALP92388|Capim_virus	257	ALP92388	Capim virus	BeAn 8582	1958	Caluromys philander (woolly opossum)	Brazil	South America	Capim
AMR98956|Capim_virus	267	AMR98956	Capim virus	BeAn8582	1958	Caluromys philander	"Brazil: Utinga Forest, Para State"	South America	Capim
YP_009362054|Capim_virus	652	YP_009362054	Capim virus	BeAn 8582	1958	Caluromys philander (woolly opossum)	Brazil	South America	Capim
ABQ14448|Caraparu_virus	10	ABQ14448	Caraparu virus	BeAn3994	1956	Cebus apella	Brazil: Para State	South America	Group C
AGW82134|Caraparu_virus	97	AGW82134	Caraparu virus	BeAn3994	1956	Cebus apella	Brazil	South America	Group C
AGW82145|Caraparu_virus	99	AGW82145	Caraparu virus	FVB0426	2008	Homo sapiens; gender F; age 24	Bolivia: Cochabamba	South America	Group C
AGW82149|Caraparu_virus	100	AGW82149	Caraparu virus	IQD5973	2003	Homo sapiens; gender F; age 17	Peru: Iquitos	South America	Group C
AGW82157|Caraparu_virus	102	AGW82157	Caraparu virus	FMD0783	2006	Homo sapiens; gender M; age 21	Peru: Puerto Maldonado	South America	Group C
AVX48950|Caraparu_virus	373	AVX48950	Caraparu virus	BeAn3994	1956	Sapajus apella	Brazil	South America	Group C
QLA46975|Caraparu_virus	580	QLA46975	Caraparu virus	BeAn 3994	1956	Sapajus apella (Sentinel)	Brazil	South America	Group C
YP_009362063|Caraparu_virus	654	YP_009362063	Caraparu virus	BeAn3994	1956	Cebus apella	Brazil	South America	Group C
AFI24663|Cat_Que_virus	68	AFI24663	Cat Que virus	VN04-2108	2004	Culex sp.	Viet Nam	Asia	Simbu
AXQ05038|Cat_Que_virus	447	AXQ05038	Cat Que virus	JM1	1961	Acridotheres fuscus	India	Asia	Simbu
YP_009028569|Cat_Que_virus	648	YP_009028569	Cat Que virus	VN04-2108	2004	Culex sp.	Viet Nam	Asia	Simbu
AKO90158|Catu_virus	206	AKO90158	Catu virus	BeH 151	1955	Homo sapiens	Brazil	South America	Guama
YP_009507870|Catu_virus	662	YP_009507870	Catu virus	BeH 151	1955	Homo sapiens	Brazil	South America	Guama
ACC77564|Chatanga_virus	12	ACC77564	Chatanga virus	LEIV-17756	1988	Aedes sp.	Russia: Iakutia Republic	Asia	California
AEK05550|Chatanga_virus	51	AEK05550	Chatanga virus	LEIV-18733	NA	Aedes nigripes (mosquito)	Russia: Yakutia	Europe	California
AEK05551|Chatanga_virus	52	AEK05551	Chatanga virus	LEIV-15854	NA	Aedes sp. (mosquito)	Russia: Komi republic	Europe	California
