taxon	order_in_fasta	accession	organism	strain	collection_year	host	collection_location	collection_continent	serogroup
AWU66941|Oropouche_virus	396	AWU66941	Oropouche virus	BeH 29086	1961	Homo sapiens	Brazil	South America	Simbu
AWU66957|Oropouche_virus	397	AWU66957	Oropouche virus	BeAn 206119	1971	Bradypus tridactylus	Brazil	South America	Simbu
AWU66961|Oropouche_virus	398	AWU66961	Oropouche virus	BeAn 208402	1971	Bradypus tridactylus	Brazil	South America	Simbu
AWU66965|Oropouche_virus	399	AWU66965	Oropouche virus	BeAn 208819	1971	Bradypus tridactylus	Brazil	South America	Simbu
AWU66969|Oropouche_virus	400	AWU66969	Oropouche virus	BeH 355173	1978	Homo sapiens	Brazil	South America	Simbu
AWU66973|Oropouche_virus	401	AWU66973	Oropouche virus	BeAr 366927	1979	Culicoides paraensis	Brazil	South America	Simbu
AWU66977|Oropouche_virus	402	AWU66977	Oropouche virus	BeH 385591	1980	Homo sapiens	Brazil	South America	Simbu
AWU66981|Oropouche_virus	403	AWU66981	Oropouche virus	BeH 532314	1994	Homo sapiens	Brazil	South America	Simbu
AWU66985|Oropouche_virus	404	AWU66985	Oropouche virus	BeH 532422	1994	Homo sapiens	Brazil	South America	Simbu
AWU66993|Oropouche_virus	405	AWU66993	Oropouche virus	BeH 532500	1994	Homo sapiens	Brazil	South America	Simbu
AWU66997|Oropouche_virus	406	AWU66997	Oropouche virus	BeH 541140	1994	Homo sapiens	Brazil	South America	Simbu
AWU67001|Oropouche_virus	407	AWU67001	Oropouche virus	BeH 543629	1996	Homo sapiens	Brazil	South America	Simbu
AWU67005|Oropouche_virus	408	AWU67005	Oropouche virus	BeH 543760	1996	Homo sapiens	Brazil	South America	Simbu
AWU67009|Oropouche_virus	409	AWU67009	Oropouche virus	BeH 543857	1996	Homo sapiens	Brazil	South America	Simbu
AWU67013|Oropouche_virus	410	AWU67013	Oropouche virus	PPS 522 H 669314	2003	Homo sapiens	Brazil	South America	Simbu
AWU67025|Oropouche_virus	411	AWU67025	Oropouche virus	PMOH 682431	2004	Homo sapiens	Brazil	South America	Simbu
AWU67029|Oropouche_virus	412	AWU67029	Oropouche virus	BeH 708139	2006	Homo sapiens	Brazil	South America	Simbu
AWU67037|Oropouche_virus	413	AWU67037	Oropouche virus	BeH 708717	2006	Homo sapiens	Brazil	South America	Simbu
AWU67041|Oropouche_virus	414	AWU67041	Oropouche virus	BeH 498913	1990	Homo sapiens	Brazil	South America	Simbu
QFI57493|Oropouche_virus	541	QFI57493	Oropouche virus	OROV/EC/Esmeraldas/057/2016	2016	Homo sapiens	Ecuador	South America	Simbu
QFI57494|Oropouche_virus	542	QFI57494	Oropouche virus	OROV/EC/Esmeraldas/155/2016	2016	Homo sapiens	Ecuador	South America	Simbu
QFI57495|Oropouche_virus	543	QFI57495	Oropouche virus	OROV/EC/Esmeraldas/171/2016	2016	Homo sapiens	Ecuador	South America	Simbu
QFI57497|Oropouche_virus	544	QFI57497	Oropouche virus	OROV/EC/Esmeraldas/210/2016	2016	Homo sapiens	Ecuador	South America	Simbu
QIM41036|Oropouche_virus	551	QIM41036	Oropouche virus	OV/Homo sapiens/Haiti-1/2014	2014	Homo sapiens	Haiti	South America	Simbu
QWT43265|Oropouche_virus	627	QWT43265	Oropouche virus	Bel90435/H853382	2018	Homo sapiens	Brazil	South America	Simbu
AGW82153|Orthobunyavirus_FSL2923	101	AGW82153	Orthobunyavirus FSL2923	FSL2923	2006	Homo sapiens; gender M; age 59	Peru: Yurimaguas	South America	Group C
AWU66302|Orthobunyavirus_sp.	384	AWU66302	Orthobunyavirus sp.	IQE3155	2006	Homo sapiens; gender M; age 27	Peru: Iquitos	South America	Group C
AWU66318|Orthobunyavirus_sp.	385	AWU66318	Orthobunyavirus sp.	FMD1881	2008	Homo sapiens; gender M; age 28	Peru: Puerto Maldonado	South America	Group C
AWU66320|Orthobunyavirus_sp.	386	AWU66320	Orthobunyavirus sp.	IQE7743	2008	Homo sapiens; gender F; age 46	Peru: Iquitos	South America	Group C
AWU66324|Orthobunyavirus_sp.	387	AWU66324	Orthobunyavirus sp.	FMD2329	2009	Homo sapiens; gender M; age 22	Peru: Puerto Maldonado	South America	Group C
AGS56984|Oya_virus	90	AGS56984	Oya virus	SC0806	2008	mosquito	China	Asia	Ungrouped
ARF07019|Oya_virus	322	ARF07019	Oya virus	NIV86209	1986	Homo sapiens	India	Asia	Ungrouped
AXP32042|Oya_virus	430	AXP32042	Oya virus	VN04-2108	2002	Culex sp.	"Viet Nam: Cat Que, Ha Tay province"	Asia	Ungrouped
QEV83986|Oya_virus	540	QEV83986	Oya virus	GD18234	2018	midge	China	Asia	Ungrouped
AEE01391|Oyo_virus	47	AEE01391	Oyo virus	NA	1964	NA	Nigeria	Africa	Ungrouped
QLA47048|Pacora_virus	596	QLA47048	Pacora virus	J19	1958	adult female Culex dunni	Panama	North America	Ungrouped
QLA47044|Pahayokee_virus	595	QLA47044	Pahayokee virus	FE3-52F	1963	Culex (Melanoconion) sp.	USA	North America	Patois
AXP33560|Patois_virus	444	AXP33560	Patois virus	63A49	1963	Culex sp.	Mexico	North America	Patois
QLA46901|Patois_virus	563	QLA46901	Patois virus	BT 4971	1961	Sigmodon hispidus	Panama	North America	Patois
YP_009667042|Patois_virus	696	YP_009667042	Patois virus	63A49	1963	Culex sp.	Mexico	North America	Patois
AXP32046|Peaton_virus	431	AXP32046	Peaton virus	CSIRO 110	1976	Culicoides brevitarsis	"Australia: Peachester, Queensland"	Oceania	Simbu
QCT81364|Peaton_virus	529	QCT81364	Peaton virus	cs245	1976	Culicoides brevitarsis	Australia	Oceania	Simbu
QCT81365|Peaton_virus	530	QCT81365	Peaton virus	cs322	1980	Bos taurus	Australia	Oceania	Simbu
QCT81366|Peaton_virus	531	QCT81366	Peaton virus	cs347	1980	Culicoides brevitarsis	Australia	Oceania	Simbu
AJT39457|Perdoes_virus	169	AJT39457	Perdoes virus	BeAn790177	2012	Callithrix penicillata	Brazil	South America	Simbu
ARI46646|Playas_virus	329	ARI46646	Playas virus	75V3066	1975	Aedes taeniorhynchus	Ecuador	South America	Bunyamwera
ARI46654|Playas_virus	330	ARI46654	Playas virus	75V5758	1975	Aedeomyia (ochler) taeniorhynchus	Ecuador	South America	Bunyamwera
AIN37016|Pongola_virus	140	AIN37016	Pongola virus	SA Ar1	1955	Aedes circumluteolus	South Africa	Africa	Bwamba
AIN37017|Pongola_virus	141	AIN37017	Pongola virus	191B-07	2006	Aedes cf. mcintoshi/circumluteolus	Kenya	Africa	Bwamba
ATJ04182|Potosi_virus	364	ATJ04182	Potosi virus	IL94-1899	1994	Aedes albopictus	USA: Illinois	North America	Bunyamwera
